Wall time,Step,Value
1619975046.88316,0,0.7810669541358948
1619975550.1325376,1,0.7285767197608948
1619976053.3729913,2,0.685660719871521
1619976551.2136528,3,0.6518487334251404
1619977057.4781053,4,0.6216152906417847
1619977564.0840392,5,0.6009830236434937
1619978060.1680777,6,0.5806373357772827
1619978551.6521974,7,0.5233361124992371
1619979044.3529696,8,0.49516361951828003
1619979534.3277636,9,0.4813741445541382
1619980021.306208,10,0.48341384530067444
1619980505.4833527,11,0.4772948920726776
1619980996.6947625,12,0.47077473998069763
1619981481.2586577,13,0.4668138921260834
1619981970.0719478,14,0.4587065875530243
1619982459.059128,15,0.45555126667022705
1619982949.541619,16,0.457367479801178
1619983436.4710417,17,0.44698619842529297
1619983922.0915732,18,0.44985389709472656
1619984411.0418634,19,0.44418343901634216
1619984897.201297,20,0.44918525218963623
1619985383.9238024,21,0.44424939155578613
1619985871.4200468,22,0.43776464462280273
1619986362.7801733,23,0.44022539258003235
1619986859.845096,24,0.4365186095237732
1619987373.0953355,25,0.4313718378543854
1619987881.470198,26,0.4335460662841797
1619988396.2829623,27,0.4343591034412384
1619988907.7672763,28,0.4286245107650757
1619989420.8299892,29,0.4260511100292206
