Wall time,Step,Value
1619975046.88316,0,0.09110593795776367
1619975550.1325376,1,0.11374330520629883
1619976053.3729913,2,0.14878492057323456
1619976551.2136528,3,0.17755937576293945
1619977057.4781053,4,0.23291237652301788
1619977564.0840392,5,0.3049912750720978
1619978060.1680777,6,0.4917266368865967
1619978551.6521974,7,0.6552848219871521
1619979044.3529696,8,0.6764084696769714
1619979534.3277636,9,0.7003765106201172
1619980021.306208,10,0.6963062286376953
1619980505.4833527,11,0.7065548300743103
1619980996.6947625,12,0.7041700482368469
1619981481.2586577,13,0.7116402387619019
1619981970.0731194,14,0.7274182438850403
1619982459.059128,15,0.7197410464286804
1619982949.5427012,16,0.7236964106559753
1619983436.4710417,17,0.7284464836120605
1619983922.0915732,18,0.7328000068664551
1619984411.0418634,19,0.7404689192771912
1619984897.201297,20,0.7351165413856506
1619985383.9238024,21,0.7404460906982422
1619985871.4200468,22,0.7499427199363708
1619986362.7801733,23,0.7467562556266785
1619986859.845096,24,0.7486628890037537
1619987373.0953355,25,0.7498452663421631
1619987881.470198,26,0.7501810193061829
1619988396.2829623,27,0.7477120161056519
1619988907.7672763,28,0.7635831236839294
1619989420.8299892,29,0.7625477910041809
