Wall time,Step,Value
1621283082.7230191,0,0.12173088639974594
1621283581.369578,1,0.2251252382993698
1621284018.3511012,2,0.35746681690216064
1621284464.6601615,3,0.5038368105888367
1621284889.9631329,4,0.61217200756073
1621285337.126122,5,0.6529061794281006
1621285790.4688153,6,0.673210084438324
1621286233.952799,7,0.68809974193573
1621286675.5296183,8,0.6933404803276062
1621287117.4391458,9,0.6921848654747009
1621287550.3294845,10,0.6992402672767639
1621287989.3620336,11,0.7128831744194031
1621288415.5818214,12,0.7181769013404846
1621288850.1164136,13,0.7223420739173889
1621289289.686559,14,0.7264706492424011
1621289720.8922777,15,0.7289630770683289
1621290158.0444524,16,0.7397320866584778
1621290589.7582686,17,0.7329807877540588
1621291029.332545,18,0.744551956653595
1621291462.5210016,19,0.7425193190574646
1621291908.9810727,20,0.742041826248169
1621292336.0363913,21,0.7413756847381592
1621292769.0894763,22,0.7399943470954895
1621293200.176582,23,0.7544062733650208
1621293641.1670625,24,0.7588847875595093
1621294069.535326,25,0.7556604743003845
1621294509.424227,26,0.7567464113235474
1621294951.1184123,27,0.7677635550498962
1621295405.0805364,28,0.7548831105232239
1621295844.7271478,29,0.7628843188285828
