Wall time,Step,Value
1621283082.7230191,0,0.7884405851364136
1621283581.369578,1,0.7269012928009033
1621284018.3511012,2,0.666023313999176
1621284464.6601615,3,0.5878537893295288
1621284889.9631329,4,0.5384279489517212
1621285337.126122,5,0.5090757608413696
1621285790.4688153,6,0.49285557866096497
1621286233.952799,7,0.48460692167282104
1621286675.5296183,8,0.48155662417411804
1621287117.4391458,9,0.47587326169013977
1621287550.3294845,10,0.468904048204422
1621287989.3620336,11,0.4640795588493347
1621288415.5818214,12,0.4585263431072235
1621288850.1164136,13,0.45864519476890564
1621289289.686559,14,0.458325058221817
1621289720.8922777,15,0.45264166593551636
1621290158.0444524,16,0.4518207907676697
1621290589.7582686,17,0.4466252624988556
1621291029.332545,18,0.44509565830230713
1621291462.5210016,19,0.44638460874557495
1621291908.9810727,20,0.4404624104499817
1621292336.0363913,21,0.4333191215991974
1621292769.0894763,22,0.4451751112937927
1621293200.176582,23,0.4420650601387024
1621293641.1670625,24,0.43327730894088745
1621294069.535326,25,0.43119296431541443
1621294509.424227,26,0.42717018723487854
1621294951.1184123,27,0.4257243871688843
1621295405.0805364,28,0.42616593837738037
1621295844.7259667,29,0.4302874803543091
