Wall time,Step,Value
1621267689.0219655,0,0.7978501915931702
1621268148.8861494,1,0.739829421043396
1621268594.2280362,2,0.6973128318786621
1621269037.3907483,3,0.6626899838447571
1621269548.2036,4,0.6352130174636841
1621270004.1521037,5,0.5899708867073059
1621270448.7479615,6,0.5254120826721191
1621270891.8351953,7,0.5062978267669678
1621271360.8764124,8,0.5039909482002258
1621271815.5971856,9,0.4961366653442383
1621272363.1724935,10,0.47833001613616943
1621272791.9044955,11,0.47473472356796265
1621273218.3744159,12,0.47368544340133667
1621273678.0887952,13,0.46764540672302246
1621274140.9559643,14,0.4671187400817871
1621274567.616368,15,0.4587841033935547
1621274997.6073692,16,0.46107760071754456
1621275428.713548,17,0.45622843503952026
1621275860.6558588,18,0.45212817192077637
1621276299.3838704,19,0.4549480080604553
1621276728.6755073,20,0.45068979263305664
1621277169.975522,21,0.4455142319202423
1621277601.6555517,22,0.4484947621822357
1621278033.789191,23,0.4418438673019409
1621278469.5117643,24,0.44011202454566956
1621278912.3408577,25,0.4385473132133484
1621279344.2028632,26,0.43915972113609314
1621279778.5182955,27,0.4472542703151703
1621280212.6319895,28,0.43293997645378113
1621280649.1496568,29,0.429671972990036
